1706808423861	Sync.SyncScheduler	DEBUG	Next sync in 600000 ms. (why=schedule)
1706808423867	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1706808423868	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1706808425763	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808425763	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808425763	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808426763	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808426764	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808426764	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808428782	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808428782	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808428782	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808429782	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808429782	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808429782	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808431782	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808431782	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808431782	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808432783	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808432783	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808432783	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808434801	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808434801	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808434801	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808435801	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808435801	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808435801	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808436803	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808436803	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808436803	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808438803	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808438804	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808438804	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808439804	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808439804	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808439804	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808440822	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808440822	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808440822	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808442822	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808442822	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808442822	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808443823	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808443823	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808443823	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808444824	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808444825	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808444825	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808446842	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808446842	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808446842	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808447843	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808447843	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808447843	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
1706808449845	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1706808449845	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1706808449845	FirefoxAccounts	WARN	Could not find a pairing flow for VpPg09u4oQHBidj_edYZZQ
